State,Year,Wind_MU,Solar_MU,Biomass_MU,Bagasse_MU,Small_Hydro_MU,Others_MU,Total_RE_MU,Large_Hydro_MU,Region,Solar_Share_Pct,YoY_Solar_Growth_Pct,Emission_Avoided_MT,Solar_Wind_Ratio,Irradiance_GHI,Panel_Efficiency,Cost_Solar_INR,Cost_Coal_INR,Cost_Saving_INR,Anomaly_Flag
Nagaland,2023,0.0,0.0,3.220033,0.0,3.220033,0.0,12.880132,,Northeast,0.0,,0.0106,,4.0,0.19,2.55,3.75,1.2,0
Nagaland,2024,0.0,0.0,0.0,0.0,2.62,0.0,7.38,2.14,Northeast,0.0,,0.0061,,4.0,0.195,2.45,3.9,1.45,0
Nagaland,2026,0.0,0.0,0.0,0.0,3.09189,0.0,14.06378,7.88,Northeast,0.0,,0.0115,,4.0,0.205,2.3,4.2,1.9,0
Nagaland*,2025,0.0,0.0,0.0,0.0,1.665502,0.0,5.8110040000000005,2.48,Other,0.0,,0.0048,,,0.2,2.38,4.05,1.67,0
Odisha,2022,10.012823,0.0,12.657,0.0,77.914823,0.0,201.16929199999998,,East,0.0,,0.165,0.0,4.9,0.185,2.65,3.6,0.95,0
Odisha,2023,8.663043,0.0,15.855,0.0,90.49504300000001,0.0,230.02617200000003,,East,0.0,,0.1886,0.0,4.9,0.19,2.55,3.75,1.2,0
Odisha,2024,0.0,75.988,6.066205,0.0,17.619,0.0,588.3064099999999,388.96,East,12.92,,0.4824,,4.9,0.195,2.45,3.9,1.45,0
Odisha,2025,0.0,87.341,0.024532,0.0,17.702,0.0,637.905064,427.77,East,13.69,14.94,0.5231,,4.9,0.2,2.38,4.05,1.67,0
Odisha,2026,0.0,86.726,10.53069,0.0,30.695,0.0,829.72338,573.82,East,10.45,-0.7,0.6804,,4.9,0.205,2.3,4.2,1.9,0
Puducherry,2026,0.0,1.02,0.0,0.0,0.0,0.0,2.04,0.0,South,50.0,,0.0017,,5.0,0.205,2.3,4.2,1.9,0
Puducherry*,2022,0.0,0.0,0.0,0.0,1.02,0.0,2.04,,Other,0.0,,0.0017,,,0.185,2.65,3.6,0.95,0
Puducherry*,2023,0.0,0.0,0.0,0.0,1.02,0.0,2.04,,Other,0.0,,0.0017,,,0.19,2.55,3.75,1.2,0
Puducherry*,2024,0.0,1.02,0.0,0.0,0.0,0.0,2.04,0.0,Other,50.0,,0.0017,,,0.195,2.45,3.9,1.45,0
Puducherry*,2025,0.0,1.02,0.0,0.0,0.0,0.0,2.04,0.0,Other,50.0,0.0,0.0017,,,0.2,2.38,4.05,1.67,0
Punjab,2022,49.856091,41.999652,22.629867,0.0615,240.76564299999998,0.0,710.625506,,North,5.91,,0.5827,0.842,4.6,0.185,2.65,3.6,0.95,0
Punjab,2023,44.36,42.11,39.06,0.0,294.89000000000004,0.0,840.8400000000001,,North,5.01,0.26,0.6895,0.949,4.6,0.19,2.55,3.75,1.2,0
Punjab,2024,0.0,132.096,59.8748,39.269,41.1126,0.0,809.4947999999999,264.79,North,16.32,213.69,0.6638,,4.6,0.195,2.45,3.9,1.45,0
Punjab,2025,0.0,142.3,58.43,53.28,43.68,0.0,839.31,243.93,North,16.95,7.72,0.6882,,4.6,0.2,2.38,4.05,1.67,0
Punjab,2026,0.0,121.065517,62.071312,38.616652,23.2241,0.0,769.005162,279.05,North,15.74,-14.92,0.6306,,4.6,0.205,2.3,4.2,1.9,0
Rajasthan,2022,30.747191,0.0,0.999669,0.0,1505.723356,0.0,3074.940432,,West,0.0,,2.5215,0.0,5.72,0.185,2.65,3.6,0.95,0
Rajasthan,2023,34.248655,0.0,1.777764,0.0,2941.346498000001,0.0,5954.745834000001,,West,0.0,,4.8829,0.0,5.72,0.19,2.55,3.75,1.2,0
Rajasthan,2024,628.579369,4028.9062279999994,40.352155,0.0,1.305661,0.0,9523.946825999998,125.66,West,42.3,,7.8096,6.41,5.72,0.195,2.45,3.9,1.45,0
Rajasthan,2025,559.1269,5529.163031999999,36.436156,0.0,1.047064,0.0,12358.146303999998,106.6,West,44.74,37.24,10.1337,9.889,5.72,0.2,2.38,4.05,1.67,0
Rajasthan,2026,608.004,5694.1900000000005,76.967,0.0,1.132211,0.0,12840.756422,80.17,West,44.34,2.98,10.5294,9.365,5.72,0.205,2.3,4.2,1.9,0
Sikkim,2022,0.0,0.0,1.02958,0.0,1.02958,0.0,4.11832,,Northeast,0.0,,0.0034,,3.9,0.185,2.65,3.6,0.95,0
Sikkim,2026,0.0,0.0,0.0,0.0,1.02958,0.0,90.93915999999999,88.88,Northeast,0.0,,0.0746,,3.9,0.205,2.3,4.2,1.9,0
Sikkim *,2023,0.0,0.0,1.02958,0.0,1.02958,0.0,4.11832,,Other,0.0,,0.0034,,,0.19,2.55,3.75,1.2,0
Sikkim *,2024,0.0,0.0,0.0,0.0,1.02958,0.0,42.72916000000001,40.67,Other,0.0,,0.035,,,0.195,2.45,3.9,1.45,0
